estacion,lat,lon,nombre
ELAZC,23.649722,-103.4475,"El Arenal, Zac."
IXMHD,20.481944,-99.220833,"Ixmiquilpan, Hgo."
JALTB,17.9875,-92.816667,"Jalapa, Tab."
ZAPJL,20.404167,-103.0875,"Zapotlanejo, Jal."
MNANL,26,-100.530556,"Mina, N.L."
CDOTP,26.238056,-98.5975,"S-J-2-18 Ciudad Díaz Ordaz, Tamps."
LCAMC,18.429167,-100.997222,"La Calera, Mich."
XOBVC,19.533333,-96.916667,"Observatorio de Xalapa, Ver."
TRNGJ,0,0,"La Trinidad, Gto."
CUIMC,19.956111,-101.138056,"Cuitzeo, Mich."
TCHZC,23.471944,-103.879722,"Chalchihuites, Zac."
SJUJL,21.688889,-102.538889,"San Juan, Jal."
PLMSO,31.25,-112.1,"El Plomo, Son."
VIFCP,16.233333,-93.270833,"Villa Flores, Chis."
SAACL,25.273333,-100.575556,"San Antonio de las Alazanas, Coah."
CHYVC,21.7375,-98.155833,"Paso de Piedras, Ver."
IRASO,28.426389,-110.396944,"Ignacio R. Alatorre, Son."
CPEJL,19.9975,-105.129722,"Cajón de Peña, Jal."
ACZMX,20.166667,-99.6,"Acazuchitlan, Mex."
SRLBS,27.3,-112.283333,"Santa Rosalía, B.C.S."
HDZSI,25.983333,-109.333333,"Higuera de Zaragoza, Sin."
EFTSI,26.433333,-108.616667,"El Fuerte, Sin."
CALGR,18.359444,-100.664444,"Ciudad Altamirano, Gro."
MEOYC,20.946389,-89.651111,"Observatorio de Mérida, Yuc."
PLMBS,25.183333,-112.1,"Puerto Adolfo López Mateos, B.C.S."
SNTCM,19.129444,-104.348333,"Santiago, Col."
CALVC,18.1875,-96.094444,"Ciudad Alemán, Ver."
ETEVC,19.068889,-96.158333,"El Tejar, Ver."
CHRMC,18.655556,-101.631944,"Churumuco, Mich."
PERHD,20.0575,-98.334722,"La Esperanza, Hgo."
JACOX,17.866667,-96.2,"Jacatepec, Oax."
ARLSO,29.076667,-110.92,"Abelardo Rodríguez Luján, Son."
PETYC,20.1325,-88.930833,"Peto, Yuc."
HLSVC,21.160556,-98.274167,"Los Hules, Ver."
VJRSL,22.325556,-100.27,"Villa Juárez, S.L.P."
JABCP,16.147222,-91.377222,"Jabalí, Chis."
APRDR,26.226389,-104.493889,"Ing. Benjamín Ortega Cantero, Dgo."
PMHSI,26.509722,-108.58,"Miguel Hidalgo, Sin."
GDOSI,25.856667,-107.911111,"Gustavo Díaz Ordaz, Sin."
JALZC,24.281667,-103.397778,"Juan Aldama, Zac."
VTZSL,21.4,-98.9,"Villa Terrazas, S.L.P."
LSRTP,22.833333,-99.116667,"La Servilleta, Tamps."
PROMR,18.771111,-99.156944,"Progreso (IMTA), Mor."
LMTGJ,20.3,-101,"Lomo de Toro, Gto."
CURMR,18.948333,-99.230833,"Secretaría de Eduación Pública Cuernavaca, Mor."
SALCL,25.376389,-101.016667,"Observatorio de Saltillo, Coah."
PSLGR,16.8,-99.9,"Palma Sola 1, Gro."
PAGDR,24.203889,-104.656667,"Peña del Águila, Dgo."
SGDDF,19.572222,-99.122222,"Sierra Guadalupe, Cd. de Méx."
TABCP,0,0,"Tablón, Chis."
LLNCH,28.984444,-105.28,"Ing. Luis L. León, Chih."
EGCJL,20.680833,-102.976111,"Ing. Elías González Chávez, Jal."
URSSO,29.426944,-110.392222,"Ures, Son."
OLNGR,17.777222,-98.735,"Olinala, Gro."
NIDDR,24.9,-105.1,"Nuevo Leal, Dgo."
ZAPCP,16.090833,-91.399167,"Zapotal, Chis."
LHRDR,25.35,-106.7,"La Huerta, Dgo."
ECHPB,18.966111,-98.275556,"Echeverría, Pue."
CSLBS,22.881944,-109.9125,"Cabo San Lucas, B.C.S."
TCRSO,26.918333,-109.453333,"Tres Carlos, Son."
AQMSL,21.627778,-99.015833,"Aquismón, S.L.P."
SLAMX,19.190278,-98.870833,"San Luis Ameca, Méx."
LSANR,21.941111,-104.553889,"Los Sabinos, Nay."
MTPSO,29.113889,-109.966111,"Mátape, Son."
CPEHD,0,0,"Canal a Presa Endhó, Hgo."
PA2OX,18.166667,-96.083333,PAPALOAPAN II
MACTB,17.766667,-92.6,"Macuspana, Tab."
AWSSI,25.033333,-107.466667,"Andrew Weiss, Sin."
K58SO,27.436389,-109.845,"km 58 de Canal Alto, Son."
K54DR,0,0,"km 54+000, Dgo."
FROTB,18.529444,-92.216667,"Frontera, Tab."
GDUSO,28.95,-108.708333,"La Guadalupe, Son."
CINBS,25.263889,-111.776389,"Ciudad Insurgentes, B.C.S."
TENJL,22.171944,-103.198611,"Tenasco, Jal."
REATP,25.649444,-98.055833,"S-J-3-48A Reynosa, Tamps."
RQEGJ,20.534722,-100.813611,"Roque, Gto."
HUAOX,18.116667,-96.833333,"Huautla, Oax."
SMODR,25.953333,-105.366667,"Santa María del Oro, Dgo."
EFLBN,32.468056,-116.828333,"El Florido, B.C."
CGCMX,19.205,-99.511667,"Gerencia Conagua CODAGEM, Méx."
CGOVC,19.45,-96.7,"Cerro Gordo, Ver."
CHIZC,21.997222,-102.896111,"El Chique, Zac."
CORZC,24.621389,-101.389167,"Concepción del Oro, Zac."
CCLVC,18.3,-95.8,"Chacaltianguis, Ver."
BRIVC,19.483333,-96.933333,"Briones, Ver."
ARZSO,30.335833,-110.1675,"Arizpe, Son."
K39SO,27.560278,-109.873889,"km 39 de Canal Alto, Son."
NCESO,27.561667,-109.845833,"Procesadora Bachoco, Son."
ZANOX,16.4025,-94.216111,"Zanatepec, Oax."
TEQOX,16.416667,-95.6,"Tequisistlán, Oax."
CALMX,19.333333,-99.7,"Calixtlahuaca, Méx."
VOLJL,20.0675,-103.09,"Volantín, Jal."
SSCDF,19.320833,-98.960556,"Subestación Eléctrica Santa Catarina, Cd. de Méx."
GPCCH,29.2,-108.3,"Guapoca, Chih."
ERECH,28.614722,-106.119444,"El Rejón, Chih."
ANGCP,16.401389000000002,-92.778889,"Doctor Belisario Domínguez, Chis."
CPLPB,19.092778,-98.059444,"Capulac, Pue."
VLONL,26.666667,-100,"Vallecillo, N.L."
CHLPB,19.068611,-98.318056,"Cholula, Pue."
SBBMX,19.465833,-99.704722,"José Antonio Alzate, Méx."
LSOTP,23.961111,-98.6625,"La Sonadora, Tamps."
GGUNL,25.105278,-99.347222,"Gatos Güeros, N.L."
SADMX,19.530556,-98.911111,"San Andrés (Texcoco), Méx."
INIQR,18.572222,-88.459444,"Instituto Nacional de Innovación Agraria, Q. Roo."
CVTTP,23.730278,-99.1875,"Ciudad Victoria (Gerencia), Tamps."
DORBS,27.783333,-113.420833,"Díaz Ordaz, B.C.S."
SBABS,23.716667,-109.883333,"San Bartolo, B.C.S."
VVCMX,19.461667,-100.055556,"Villa Victoria, Méx."
CABNL,24.99,-99.743889,"Cabezones, N.L."
CANNL,25.800556,-100.274722,"El Canadá, N.L."
CALNL,25.22,-99.94,"Calles, N.L."
SNHSO,26.918333,-109.453333,"Sinahuiza, Son."
ECTTL,19.318056,-97.6475,"El Carmen Tequexquitla, Tlax."
BDRSI,25.333333,-107.5375,"Badiraguato, Sin."
YESSO,30.598889,-110.895833,"Yeso, Son."
LDMJL,21.359722,-101.919722,"Lagos de Moreno, Jal."
CL2CH,27.410278,-105.381667,"Colina (hidrométrica), Chih."
RITSO,32.1,-114.9,"Riíto, Son."
AHUSL,21.3,-99,"Ahuacatlán, S.L.P."
MIRVC,19.460556,-96.7625,"Miradores, Ver."
CDFGR,16.8,-99.85,"Cumbre de Figueroa, Gro."
CDBMX,19.406667,-99.298611,"Caída del Borracho, Méx."
PRSCL,27.422222,-101.002222,"Progreso, Coah."
CMLCM,19.3175,-103.757222,"Comala, Col."
VDCMX,19.510278,-99.211667,"Vaso de Cristo, Méx."
TMOTP,24.251389,-99.436111,"El Tomaseño, Tamps."
K11CH,28.2,-108.6,"km 115+100, Chih."
SOMZC,23.638889,-103.636667,"Sombrerete, Zac."
MCVCL,26.908333,-101.4225,"Monclova, Coah."
GYCCH,26.1,-106.966667,"Guadalupe y Calvo, Chih."
CDSPB,18.987222,-97.441667,"Ciudad Serdán, Pue."
ENSBN,31.49,-116.37,"Ensenada, B.C."
CDVDF,19.407778,-99.1125,"Ciudad Deportiva, Cd. de Méx."
CDCDR,24.978611,-104.768611,"Coneto de Comonfort, Dgo."
CTTVC,18.144444,-95.295833,"Coatotolapan, Ver."
LENGJ,21.1,-101.666667,"León, Gto."
KM0CH,0,0,"km 0+500, Chih."
PANTP,25.8,-97.8,"Pueblo Anáhuac, Tamps."
ECBGJ,20.2,-100.5,"El Cubo, Gto."
POLJL,20.491111,-102.231944,"Ing. Guillermo Lugo Sanabria, Jal."
FIMDR,24.466667,-104.3,"Francisco I. Madero, Dgo."
ESMDR,0,0,"Esmeralda, Dgo."
CONSO,29,-109.2,"Cajón de Onapa, Son."
CMYDF,19.486389,-99.183333,"Campo Mecoaya, Cd. de Méx."
TXHHD,19.834722,-99.385278,"Taxhimay, Hgo"
CAZSO,26.618056,-108.765556,"Cazanate, Son."
TMPVC,21.517222,-98.383333,"Tempoal, Ver."
EPCMX,0,0,"E.P.C.C.A., Méx."
CHPCA,18.212778,-91.508611,"Chumpán, Camp."
ESBGJ,20.266667,-101,"El Sabino, Gto."
MTRNL,25.6825,-100.271667,"Monterrey, N.L."
TCMDF,19.556111,-99.1425,"Tanque Chalmita, Cd. de Méx."
TLPGR,17.5,-98.6,"Tlapa, Gro."
CALJL,21.475,-102.593056,"Calerita, Jal."
ZDRGR,17.655,-99.525278,"Zumpango del Río, Gro."
TROMX,19.1,-100.283333,"Trojes, Méx."
CATYC,20.715833,-87.865,"Catzín, Yuc."
APITL,19.4,-98.1,"Apizaco, Tlax."
UREMC,19.962222,-102.137778,"Urepetiro, Mich."
LOBZC,22.845278,-103.382778,"Manuel Felgueres, Zac."
BATQT,20.5025,-100.354167,"El Batán, Qro."
PAMJL,20.55,-104.05,"Puente Ameca, Jal."
PLACP,17.577778,-93.3875,"Platanar, Chis."
PIMCP,16.311667,-91.7625,"Pimienta, Chis."
REVCP,16.158333,-93.079167,"Revolución Mexicana, Chis."
SLMTP,23.7675,-98.210833,"Soto la Marina, Tamps."
RUINR,21.958333,-105.1425,"Ruiz, Nay."
RSRNR,21.8,-104.8,"Reguladora San Rafael, Nay."
CDLCH,28.210833,-105.446944,"Ciudad Delicias, Chih."
ARCSI,25.7,-108.7,"Adolfo Ruíz Cortínes, Sin."
TRJMC,19.48,-101.433333,"Terejero, Mich."
RNCVC,19.35,-96.55,"Rinconada, Ver."
PARCL,25.440833,-102.181667,"Parras, Coah."
CNTCL,29.213611,-100.95,"El Centenario, Coah."
LBCNL,25.428056,-100.128056,"La Boca, N.L."
CESDR,25.605556,-105.748611,"Calle Escobar, Dgo."
TCOGR,17.1675,-99.526389,"Tierra Colorada, Gro."
TMUMC,19.766389,-100.299167,"Tercer Mundo, Mich."
SBRDR,24.5,-104.8,"San Bartolo, Dgo."
ECBSO,29.2,-109.233333,"El Cubil, Son."
TAPCP,14.9,-92.183333,"Tapachula, Chis."
JLPQT,21.230278,-99.479722,"Jalpan, Qro."
CGZJL,19.697778,-103.465278,"Ciudad Guzmán, Jal."
PSANL,27.429167,-100.372222,"Salinillas, N.L."
MECYC,20.967222,-89.618333,"Merida Centro, Yuc."
SNVAG,21.885,-102.108889,"Sandovales, Ags."
OXKYC,20.290556,-89.394722,"Oxkutzcab, Yuc."
CHIMX,19.2,-100.116667,"Chilesdo, Méx."
PAYCP,16.833333,-92.945833,"Plan de Ayala, Chis."
ANSGJ,20.712778,-101.370833,"Arandas, Gto."
JONTB,18.085556,-92.136944,"Jonuta, Tab."
SLAGR,16.816667,-98.75,"San Luis Acatlán, Gro."
PADTP,24.05,-98.9,"Padilla, Tamps."
ROSCP,16.9,-91.8,"Rosario, Chis."
AJJJL,21.599444,-102.436944,"Ajojúcar, Jal."
LNRDR,24.613056,-103.306944,"Los Naranjos, Dgo."
MCHSI,25.8,-109,"Los Mochis, Sin."
PSDMX,19.783333,-99.8,"El Pescado 2, Méx."
NANVC,18.066667,-94.383333,"Nanchital, Ver."
XCTTL,19.166667,-98.25,"Xicotzingo, Tlax."
IXPSI,23.955556,-106.595833,"Ixpalino, Sin."
SRANL,25.028333,-100.551111,"San Rafael, N.L."
CUATL,19.298889,-97.769722,"Cuapiaxtla, Tlax."
CBRDR,24.538333,-104.810278,"Caboraca, Dgo."
CAGCH,30.376667,-107.930833,"Casas Grandes, Chih."
SAYCP,17.425,-93.383333,"Sayula, Chis."
JNASI,25.9,-108.013889,"Jaina, Sin."
TESMX,18.931389,-99.935833,"Texcaltitlán, Méx."
REFCP,15.916667,-92.666667,"Reforma, Chis."
CEDSL,23.816667,-100.725,"Cedral, S.L.P."
TMSTP,22.423889,-98.422778,"Tamesí, Tamps."
PTTGR,17.533333,-101.266667,"Petatlán, Gro."
SDICP,15.7425,-93.3,"San Diego, Chis."
NVLAG,22.020556,-102.001944,"El Novillo, Ags."
CCHGR,17.672222,-99.701111,"Chichihualco, Gro."
TZICP,17.283333,-93.5375,"Tzimbac, Chis."
LFLZC,22.686944,-103.603056,"La Florida, Zac."
CHOYC,20.752778,-89.829444,"Chocholá, Yuc."
FDOTP,24.843889,-98.158333,"San Fernando, Tamps."
MGZTP,22.794167,-98.716111,"Magiscatzín, Tamps."
HTBSO,26.822778,-109.630556,"Huatabampo, Son."
CTNDF,19.190278,-99.09,"Cuautenco, Cd. de Méx."
ODZGR,17.6,-99.5,"Observatorio de Zumpango, Gro."
CHOAG,22.007222,-102.197222,"Cañada Honda, Ags."
IGLGR,18.349722,-99.55,"Iguala, Gro."
GDLMX,19.635556,-99.252222,"Guadalupe, Méx."
SANMC,19.854444,-102.54,"San Marcos, Mich."
ACAPULCO,16.762778,-99.749167,"Acapulco, Gro. SMN*"
SBYDR,23.874444,-104.675833,"Santiago Bayacora, Dgo."
FMUZC,0,0,"Francisco R. Murguía, Zac."
CVCTP,23.716667,-99.166667,"Observatorio de Ciudad Victoria, Tamps."
PVRJL,20.777222,-104.102222,"Laguna Palo Verde, Jal."
CDRNL,25.590278,-99.975,"Cadereyta, N.L."
K40DR,0,0,"km 40+000 Sacramento, Dgo."
BTVCH,27.9,-107.9,"Batovira, Chih."
CHLJL,20.489722,-102.944167,"Chila, Jal."
TMTSL,21.241111,-98.758889,"Temamatla, S.L.P."
OCMCL,27.316667,-102.4,"Ocampo, Coah."
YURMC,20.339444,-102.242222,"Yurécuraro, Mich."
LCRSL,21.7,-99.1,"La Calera, S.L.P."
GTAGR,16.874444,-99.878889,"La Garita (Túnel Alto), Gro."
BNMSO,30.003611,-110.215,"Banamichi, Son."
VAGSL,21.9,-101.383333,"Villa de Arriaga, S.L.P."
HRTJL,20.466944,-103.651111,"Hurtado, Jal."
PVCVC,17.833333,-95.816667,"Playa Vicente, Ver."
LESCP,16.490278,-93.025,"La Escalera, Chis."
QRBSO,30.050556,-111.021389,"Querobabi, Son."
PBTMX,19.575,-99.175,"Planta Barrientos, Méx."
