estacion,prec,fecha_obs
AGSAG,0.01,2018-01-01
ANVAG,0,2018-01-01
CDRAG,0,2018-01-01
CNSAG,0,2018-01-01
CSOAG,0.01,2018-01-01
JCQAG,0,2018-01-01
NGRAG,0.01,2018-01-01
OBSAG,0.1,2018-01-01
PBLAG,0,2018-01-01
PECAG,0,2018-01-01
PTOAG,0,2018-01-01
PTRAG,0,2018-01-01
ALRBN,0,2018-01-01
BLMBN,0,2018-01-01
CRRBN,0,2018-01-01
CSRBN,0,2018-01-01
EFLBN,0,2018-01-01
ELZBN,0,2018-01-01
ENLBN,0,2018-01-01
LAMBN,0,2018-01-01
MXCBN,0,2018-01-01
PDMBN,0,2018-01-01
SFLBN,0,2018-01-01
VPLBN,0,2018-01-01
CCNBS,0,2018-01-01
CSLBS,0,2018-01-01
DORBS,0,2018-01-01
GNGBS,0,2018-01-01
LPZBS,0,2018-01-01
LRTBS,0,2018-01-01
MLGBS,0,2018-01-01
PLNBS,0,2018-01-01
SANBS,0,2018-01-01
SARBS,0,2018-01-01
SBABS,0,2018-01-01
SJCBS,0,2018-01-01
SNTBS,0,2018-01-01
SRLBS,0,2018-01-01
TSNBS,0,2018-01-01
CANCA,0,2018-01-01
CARCA,0,2018-01-01
CHMCA,0.01,2018-01-01
CMPCA,0,2018-01-01
CNDCA,0,2018-01-01
COBCA,0,2018-01-01
ESCCA,0,2018-01-01
HECCA,0,2018-01-01
HPOCA,0,2018-01-01
NYXCA,0,2018-01-01
PLZCA,0,2018-01-01
SBNCA,0,2018-01-01
XCPCA,0,2018-01-01
AGZCH,0,2018-01-01
BSSCH,0,2018-01-01
BTPCH,0,2018-01-01
BTVCH,0,2018-01-01
CAGCH,0,2018-01-01
CCOCH,0,2018-01-01
CDLCH,0,2018-01-01
CHUCH,0,2018-01-01
CJZCH,0,2018-01-01
CLNCH,0,2018-01-01
CNDCH,0,2018-01-01
ERECH,0,2018-01-01
FIMCH,0,2018-01-01
GPCCH,0,2018-01-01
GRCCH,0,2018-01-01
GYCCH,0,2018-01-01
IGNCH,0,2018-01-01
JMNCH,0,2018-01-01
LBQCH,0,2018-01-01
LJSCH,0,2018-01-01
LLNCH,0,2018-01-01
NRGCH,0,2018-01-01
OJNCH,0,2018-01-01
PRRCH,0,2018-01-01
QIJCH,0,2018-01-01
RVGCH,0,2018-01-01
TMCCH,0,2018-01-01
TNTCH,0,2018-01-01
URECH,0,2018-01-01
VICCH,0,2018-01-01
VZRCH,0,2018-01-01
YEPCH,0,2018-01-01
ADLCL,0,2018-01-01
AMSCL,0,2018-01-01
ARACL,0.1,2018-01-01
CBRCL,2,2018-01-01
CCGCL,0,2018-01-01
CDACL,2,2018-01-01
CDLCL,2,2018-01-01
CNTCL,0,2018-01-01
CYTCL,0.01,2018-01-01
ESLCL,0.4,2018-01-01
FIMCL,0,2018-01-01
LFGCL,1,2018-01-01
MCVCL,5.6,2018-01-01
PARCL,0,2018-01-01
PNGCL,2.8,2018-01-01
PRSCL,2.5,2018-01-01
SAACL,0,2018-01-01
SALCL,0,2018-01-01
SBNCL,0.1,2018-01-01
SMGCL,0,2018-01-01
SMJCL,0,2018-01-01
SPECL,0,2018-01-01
STOCL,0.1,2018-01-01
TORCL,0.1,2018-01-01
VCRCL,2,2018-01-01
ZPTCL,0,2018-01-01
BVSCM,0,2018-01-01
CDOCM,0,2018-01-01
CHNCM,0,2018-01-01
CLLCM,0,2018-01-01
CMLCM,0,2018-01-01
CQMCM,0,2018-01-01
CUACM,0,2018-01-01
DJLCM,0,2018-01-01
LAECM,0,2018-01-01
LDACM,0,2018-01-01
LPSCM,0,2018-01-01
MNZCM,0,2018-01-01
PNTCM,0,2018-01-01
RDRCM,0,2018-01-01
SCHCM,0,2018-01-01
TCMCM,0,2018-01-01
TRJCM,0,2018-01-01
TRPCM,0,2018-01-01
ACACP,0,2018-01-01
ANGCP,0,2018-01-01
AROCP,0,2018-01-01
BOQCP,0,2018-01-01
CHICP,0,2018-01-01
COOCP,0,2018-01-01
GRICP,0,2018-01-01
JDGCP,0,2018-01-01
JSBCP,0,2018-01-01
MALCP,0.3,2018-01-01
OCOCP,0.01,2018-01-01
PCOCP,0,2018-01-01
PENCP,0.2,2018-01-01
RCACP,0.2,2018-01-01
REFCP,0,2018-01-01
REVCP,0,2018-01-01
SAACP,0,2018-01-01
SAYCP,0,2018-01-01
SDOCP,0,2018-01-01
SMICP,0,2018-01-01
SNACP,0,2018-01-01
TAPCP,0,2018-01-01
TXOCP,0,2018-01-01
YAMCP,0,2018-01-01
AJSDF,0,2018-01-01
CCUDF,0,2018-01-01
CDMDF,0,2018-01-01
CDVDF,0,2018-01-01
CEADF,0,2018-01-01
CFSDF,0,2018-01-01
CMTDF,0,2018-01-01
CMYDF,0,2018-01-01
CTNDF,0,2018-01-01
CYLDF,0,2018-01-01
DATDF,0,2018-01-01
DDFDF,0,2018-01-01
DTLDF,0,2018-01-01
DVLDF,0,2018-01-01
EAZDF,0,2018-01-01
EYQDF,0,2018-01-01
EZCDF,0,2018-01-01
GCNDF,0,2018-01-01
HYTDF,0,2018-01-01
LU4DF,0,2018-01-01
LVNDF,0,2018-01-01
MAGDF,0,2018-01-01
