estacion,tmedia,fecha_obs
AGSAG,15.5,2018-01-01
ANVAG,15.8,2018-01-01
CDRAG,17.25,2018-01-01
CSOAG,10.75,2018-01-01
JCQAG,16,2018-01-01
NGRAG,14.5,2018-01-01
OBSAG,16.3,2018-01-01
PBLAG,15,2018-01-01
PECAG,17.5,2018-01-01
PTOAG,15,2018-01-01
PTRAG,15,2018-01-01
ALRBN,15,2018-01-01
CRRBN,17,2018-01-01
EFLBN,15.5,2018-01-01
ELZBN,15.5,2018-01-01
ENLBN,15.3,2018-01-01
MXCBN,15.7,2018-01-01
PDMBN,13.5,2018-01-01
SFLBN,17,2018-01-01
CCNBS,21.1,2018-01-01
CSLBS,25.5,2018-01-01
DORBS,18.2,2018-01-01
GNGBS,16.5,2018-01-01
LPZBS,24.4,2018-01-01
LRTBS,22.4,2018-01-01
MLGBS,20,2018-01-01
PLNBS,25,2018-01-01
SANBS,25,2018-01-01
SARBS,23.5,2018-01-01
SBABS,23,2018-01-01
SJCBS,23.5,2018-01-01
SNTBS,21.5,2018-01-01
SRLBS,22,2018-01-01
TSNBS,23,2018-01-01
CANCA,23,2018-01-01
CARCA,26.5,2018-01-01
CHMCA,25,2018-01-01
CMPCA,26,2018-01-01
CNDCA,24,2018-01-01
COBCA,25.95,2018-01-01
ESCCA,25.5,2018-01-01
HECCA,25.5,2018-01-01
HPOCA,23,2018-01-01
PLZCA,25,2018-01-01
AGZCH,10,2018-01-01
BSSCH,9.3,2018-01-01
BTVCH,11.5,2018-01-01
CAGCH,14,2018-01-01
CDLCH,9.5,2018-01-01
CNDCH,19.25,2018-01-01
FIMCH,10,2018-01-01
GPCCH,11.2,2018-01-01
GYCCH,8.5,2018-01-01
IGNCH,20.5,2018-01-01
JMNCH,16.7,2018-01-01
LBQCH,11.5,2018-01-01
LJSCH,12.5,2018-01-01
NRGCH,10,2018-01-01
OJNCH,12.5,2018-01-01
PRRCH,14.85,2018-01-01
QIJCH,14.7,2018-01-01
TMCCH,9.5,2018-01-01
URECH,24,2018-01-01
ADLCL,4,2018-01-01
AMSCL,1,2018-01-01
ARACL,11.5,2018-01-01
CBRCL,4,2018-01-01
CCGCL,8,2018-01-01
CDACL,4.5,2018-01-01
CDLCL,6,2018-01-01
CNTCL,4,2018-01-01
CYTCL,17,2018-01-01
ESLCL,13,2018-01-01
FIMCL,17,2018-01-01
MCVCL,5.5,2018-01-01
PRSCL,3.5,2018-01-01
SAACL,14,2018-01-01
SALCL,14.2,2018-01-01
SBNCL,5.25,2018-01-01
SMGCL,3.5,2018-01-01
SPECL,17.5,2018-01-01
STOCL,12.5,2018-01-01
TORCL,17.35,2018-01-01
VCRCL,7.25,2018-01-01
ZPTCL,4,2018-01-01
BVSCM,26,2018-01-01
CDOCM,26.5,2018-01-01
CLLCM,27.5,2018-01-01
CQMCM,25.7,2018-01-01
CUACM,24,2018-01-01
DJLCM,26,2018-01-01
LAECM,26,2018-01-01
LDACM,26.2,2018-01-01
LPSCM,25.8,2018-01-01
MNZCM,26.3,2018-01-01
PNTCM,27.2,2018-01-01
RDRCM,23.2,2018-01-01
TCMCM,27.7,2018-01-01
TRJCM,24,2018-01-01
ACACP,24.75,2018-01-01
ANGCP,24,2018-01-01
AROCP,31.55,2018-01-01
BOQCP,25,2018-01-01
CHICP,23.5,2018-01-01
COOCP,19.4,2018-01-01
GRICP,24.25,2018-01-01
MALCP,25,2018-01-01
PCOCP,22.5,2018-01-01
PENCP,25.25,2018-01-01
REFCP,22.25,2018-01-01
REVCP,21.5,2018-01-01
SAACP,23.75,2018-01-01
SAYCP,24.25,2018-01-01
SDOCP,22.5,2018-01-01
SMICP,23,2018-01-01
SNACP,24.5,2018-01-01
TAPCP,29.2,2018-01-01
TXOCP,26.5,2018-01-01
YAMCP,22.75,2018-01-01
CEADF,15,2018-01-01
GCNDF,12,2018-01-01
SJADF,14.2,2018-01-01
CAGDR,12.5,2018-01-01
CBRDR,10.7,2018-01-01
CEBDR,15,2018-01-01
CGVDR,14,2018-01-01
CLRDR,15.5,2018-01-01
CNTDR,14.5,2018-01-01
DRGDR,13.8,2018-01-01
FVLDR,14.5,2018-01-01
FZRDR,18,2018-01-01
GESDR,13.5,2018-01-01
PAGDR,14.5,2018-01-01
ROSDR,5.25,2018-01-01
SACDR,12.5,2018-01-01
SBYDR,15.5,2018-01-01
SELDR,12.5,2018-01-01
SLCDR,16,2018-01-01
SPPDR,14,2018-01-01
TDRDR,23,2018-01-01
TMZDR,23.25,2018-01-01
VHGDR,14,2018-01-01
ABSGJ,17.7,2018-01-01
ACNGJ,15,2018-01-01
AMCGJ,15,2018-01-01
ANSGJ,16,2018-01-01
APSGJ,15.5,2018-01-01
ATBGJ,15.5,2018-01-01
BRRGJ,16,2018-01-01
CLYGJ,17,2018-01-01
COMGJ,16,2018-01-01
CRMGJ,19.5,2018-01-01
DHGGJ,17.5,2018-01-01
ECBGJ,14.5,2018-01-01
ECHGJ,17.7,2018-01-01
ECNGJ,16,2018-01-01
GTOGJ,16.8,2018-01-01
IALGJ,14.5,2018-01-01
IRPGJ,16.5,2018-01-01
JCRGJ,14.5,2018-01-01
LENGJ,18,2018-01-01
LJIGJ,17,2018-01-01
LQMGJ,11.5,2018-01-01
OCMGJ,15.5,2018-01-01
PERGJ,14,2018-01-01
PNLGJ,14,2018-01-01
POZGJ,12.2,2018-01-01
PRSGJ,13.5,2018-01-01
SFEGJ,11.5,2018-01-01
